nom;type;commune;département;longitude (X);latitude (Y)
Faculté des sciences et technologies - Département chimie biochimie;Unité de formation et de recherche;Villeurbanne;Rhône;4.8670887;45.7789354
Faculté des langues;Unité de formation et de recherche;Lyon;Rhône;4.860764;45.749139
UFR des langues;Unité de formation et de recherche;Bron;Rhône;4.9149924;45.7229341
Faculté des sciences et technologies - Département mathématiques;Unité de formation et de recherche;Villeurbanne;Rhône;4.8670887;45.7789354
Observatoire des sciences de l'univers;Unité de formation et de recherche;Villeurbanne;Rhône;4.8656389;45.7802863
Institut de formation en masso-kinésithérapie pour déficients de la vue;Ecole de santé;Lyon;Rhône;4.8842;45.759433
Ecole santé social Sud-Est;Ecole de santé;Lyon;Rhône;4.805856;45.779802
IUT Jean Moulin - Lyon 3;Institut universitaire de technologie;Lyon;Rhône;4.8370392619019;45.748862934109
Faculté des sciences et technologies - Département de physique;Unité de formation et de recherche;Villeurbanne;Rhône;4.8670887;45.7789354
Faculté des sciences et technologies - Département mécanique;Unité de formation et de recherche;Villeurbanne;Rhône;4.8670887;45.7789354
Faculté de philosophie;Unité de formation et de recherche;Lyon;Rhône;4.8375659;45.7518154
Institut des assurances de Lyon;Unité de formation et de recherche;Lyon;Rhône;4.837055;45.751854
Institut formation et recherche sur les organisations sanitaires;Unité de formation et de recherche;Lyon;Rhône;4.842057;45.747762
UFR lettres, sciences du langage et arts;Unité de formation et de recherche;Bron;Rhône;4.9149924;45.7229341
Faculté des lettres et civilisations;Unité de formation et de recherche;Lyon;Rhône;4.8370109;45.7498371
UFR droit et science politique;Unité de formation et de recherche;Bron;Rhône;4.9149924;45.7229341
UFR Sciences et techniques des activités physiques et sportives;Unité de formation et de recherche;Villeurbanne;Rhône;4.861584;45.779458
Faculté des lettres et civilisations;Unité de formation et de recherche;Lyon;Rhône;4.86042;45.749289
Faculté de philosophie;Unité de formation et de recherche;Lyon;Rhône;4.86042;45.749289
Faculté de médecine Lyon-Sud - Charles Mérieux;Unité de formation et de recherche;Oullins;Rhône;4.806976;45.704247
Institut national supérieur du professorat et de l'éducation (site de la Croix-Rousse);École supérieure du professorat et de l'éducation;Lyon;Rhône;4.824475;45.773776
Faculté de droit;Unité de formation et de recherche;Lyon;Rhône;4.837055;45.751854
